Variable,Amount still owed on all undergraduate loans,Cumulative amount borrowed for undergrad,Direct Subsidized and Unsubsidized Loans,Institutional grants total,Total aid amount
Dependent: $60000-$69999,27964.40221,27017.128,5982.256866,13050.92746,18418.58906
Dependent: $70000-$79999,27799.37235,27232.31201,6172.240989,12060.00698,18338.71423
Dependent: $80000-$99999,28547.71968,27330.9952,6142.916889,11534.4591,17816.5674
Dependent: $100000-$119999,29768.74646,28219.4353,6437.368515,12072.0739,18496.84544
Dependent: $120000-$149999,28579.72518,27242.22466,6188.882611,11632.08325,18165.23185
Dependent: $150000 or more,28367.04194,27049.48326,6380.757906,12346.80859,18298.90616
Independent: Less than $5000,35086.16306,32541.45885,8668.440687,6675.858789,14686.84265
Independent: $5000-$9999,34940.92524,31799.14661,8150.836843,5195.43484,14464.18564
Independent: $10000-$19999,36753.07121,33973.17677,7917.885802,4217.211164,12542.28666
Independent: $20000-$29999,37047.0592,34343.97819,8578.444585,3548.298398,11627.13305
Independent: $30000-$49999,36139.26023,34141.12218,8362.240605,3405.910248,11476.00191
Independent: $50000 or more,35853.20793,31640.78155,8121.594677,3920.777524,9855.57797
